Layer,STR,Uniform,ERK,SNFS,VD,GS
1,59.80%,90.00%,58.00%,2.50%,31.39%,35.11%
2,83.28%,90.00%,0.00%,2.50%,39.50%,56.05%
3,89.48%,90.00%,82.00%,2.50%,67.87%,75.04%
4,85.80%,90.00%,4.00%,2.50%,64.87%,70.31%
5,83.34%,90.00%,4.00%,2.50%,60.38%,66.88%
6,89.89%,90.00%,4.00%,2.50%,61.35%,75.09%
7,90.60%,90.00%,82.00%,2.50%,64.38%,80.42%
8,91.70%,90.00%,4.00%,2.50%,65.83%,80.00%
9,88.07%,90.00%,4.00%,2.50%,68.75%,75.21%
10,87.03%,90.00%,82.00%,2.50%,70.86%,74.95%
11,90.99%,90.00%,4.00%,2.50%,54.05%,79.28%
12,85.95%,90.00%,43.00%,2.50%,57.10%,70.89%
13,93.91%,90.00%,91.00%,62.90%,78.65%,85.39%
14,93.13%,90.00%,52.00%,11.00%,85.49%,83.54%
15,94.96%,90.00%,71.00%,66.10%,79.96%,88.36%
16,95.31%,90.00%,52.00%,32.60%,72.07%,88.25%
17,91.50%,90.00%,91.00%,61.60%,84.41%,85.37%
18,93.66%,90.00%,52.00%,20.80%,79.19%,86.53%
19,94.61%,90.00%,52.00%,29.10%,73.94%,86.40%
20,94.86%,90.00%,91.00%,63.90%,78.48%,88.29%
21,93.38%,90.00%,52.00%,22.90%,78.09%,85.87%
22,93.26%,90.00%,52.00%,27.60%,78.66%,84.87%
23,93.21%,90.00%,91.00%,65.30%,84.38%,87.14%
24,94.14%,90.00%,52.00%,25.70%,82.07%,86.84%
25,88.85%,90.00%,71.00%,48.70%,66.56%,78.40%
26,96.14%,90.00%,96.00%,90.20%,87.92%,92.93%
27,93.19%,90.00%,76.00%,73.30%,92.19%,86.19%
28,97.20%,90.00%,86.00%,93.70%,88.76%,94.66%
29,95.36%,90.00%,76.00%,81.10%,91.79%,93.60%
30,95.06%,90.00%,96.00%,90.40%,92.47%,93.07%
31,94.84%,90.00%,76.00%,78.10%,88.88%,90.54%
32,96.77%,90.00%,76.00%,80.40%,84.86%,93.44%
33,95.59%,90.00%,96.00%,90.80%,91.50%,93.73%
34,94.99%,90.00%,76.00%,79.30%,81.59%,91.13%
35,96.08%,90.00%,76.00%,80.70%,76.64%,93.18%
36,96.10%,90.00%,96.00%,90.70%,91.26%,93.63%
37,94.94%,90.00%,76.00%,79.00%,85.46%,91.63%
38,95.49%,90.00%,76.00%,79.40%,85.33%,91.98%
39,95.66%,90.00%,96.00%,91.00%,91.57%,94.21%
40,94.49%,90.00%,76.00%,79.00%,86.19%,91.63%
41,95.09%,90.00%,76.00%,78.30%,84.64%,90.72%
42,94.92%,90.00%,96.00%,91.00%,91.14%,93.43%
43,93.14%,90.00%,76.00%,78.20%,84.09%,89.56%
44,90.32%,90.00%,86.00%,85.80%,77.90%,85.35%
45,95.66%,90.00%,98.00%,97.60%,96.53%,95.07%
46,91.14%,90.00%,88.00%,93.20%,93.52%,89.21%
47,96.79%,90.00%,93.00%,98.80%,93.80%,96.72%
48,93.69%,90.00%,88.00%,94.10%,94.96%,92.69%
49,93.98%,90.00%,98.00%,97.70%,97.76%,93.85%
50,90.48%,90.00%,88.00%,94.20%,94.53%,89.84%
51,87.57%,90.00%,88.00%,93.60%,94.19%,85.91%
52,84.37%,90.00%,98.00%,97.90%,94.92%,87.14%
53,80.29%,90.00%,88.00%,94.50%,89.64%,80.65%
54,64.50%,90.00%,93.00%,97.10%,77.17%,73.43%
